"versjon";"dagsorden_nummer";"fotnote";"id";"ikke_motedag_tekst";"kveldsmote";"merknad";"mote_dato_tid";"mote_rekkefolge";"mote_ting";"referat_id";"tilleggsdagsorden";"parl_session"
"1.3";"-1";" ";"547";NA;"ikke_spesifisert";NA;"1999-10-01T13:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"-1";" ";"609";NA;"ikke_spesifisert";NA;"1999-10-01T13:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"-1";" ";"610";NA;"ikke_spesifisert";NA;"1999-10-01T13:00:00";"3";"lagting";NA;NA;"1999-2000"
"1.3";"-1";" ";"548";NA;"ikke_spesifisert";NA;"1999-10-02T13:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"1";" ";"549";NA;"ikke_spesifisert";NA;"1999-10-04T11:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"2";" ";"551";NA;"ikke_spesifisert";NA;"1999-10-06T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"1";" ";"552";NA;"ikke_spesifisert";NA;"1999-10-06T10:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"3";" ";"554";NA;"ja";NA;"1999-10-12T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"3";" ";"555";NA;"ja";NA;"1999-10-13T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"4";" ";"563";NA;"ikke_spesifisert";NA;"1999-10-19T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"2";" ";"568";NA;"ikke_spesifisert";NA;"1999-10-19T10:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"1";" ";"569";NA;"ikke_spesifisert";NA;"1999-10-19T10:00:00";"3";"lagting";NA;NA;"1999-2000"
"1.3";"5";" ";"565";NA;"ikke_spesifisert";NA;"1999-10-20T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"6";" ";"570";NA;"ikke_spesifisert";NA;"1999-10-21T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"3";" ";"567";NA;"ikke_spesifisert";NA;"1999-10-21T10:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"7";" ";"560";NA;"ikke_spesifisert";NA;"1999-10-26T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"4";" ";"561";NA;"ikke_spesifisert";NA;"1999-10-26T10:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"8";" ";"562";NA;"ikke_spesifisert";NA;"1999-10-27T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"9";" ";"564";NA;"ikke_spesifisert";NA;"1999-10-28T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"10";"Ved møtets begynnelse vil presidenten foreslå at formiddagsmøtet om nødvendig fortsetter utover reglementsmessig tid til dagens kart er ferdigbehandlet.";"571";NA;"ikke_spesifisert";NA;"1999-11-02T12:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"11";" ";"572";NA;"ikke_spesifisert";NA;"1999-11-03T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"12";" ";"573";NA;"ikke_spesifisert";NA;"1999-11-04T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"2";" ";"574";NA;"ikke_spesifisert";NA;"1999-11-04T10:00:00";"2";"lagting";NA;NA;"1999-2000"
"1.3";"13";" ";"575";NA;"ja";NA;"1999-11-16T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"5";" ";"576";NA;"ja";NA;"1999-11-16T10:00:00";"2";"odelsting";NA;NA;"1999-2000"
"1.3";"14";" ";"577";NA;"ikke_spesifisert";NA;"1999-11-17T10:00:00";"1";"storting";NA;NA;"1999-2000"
"1.3";"15";" ";"578";NA;"ikke_spesifisert";NA;"1999-11-18T10:00:00";"1";"storting";NA;NA;"1999-2000"
